Plant Species,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Lettuce,Carboxylate,214.1,-0.21,1.43,960,0.03,0.03,1
Lettuce,Carboxylate,214.1,-0.21,1.43,960,0.009,0.02,2.22
Lettuce,Carboxylate,214.1,-0.21,1.43,960,0.006,0.01,1.67
Lettuce,Carboxylate,214.1,-0.21,1.43,960,0.006,0.01,1.67
Lettuce,Carboxylate,214.1,-0.21,1.43,960,0.004,0.01,2.5
Lettuce,Carboxylate,264.1,-0.8,1.35,960,0.019,0.009,0.47
Lettuce,Carboxylate,264.1,-0.8,1.35,960,0.007,0.01,1.43
Lettuce,Carboxylate,264.1,-0.8,1.35,960,0.004,0.003,0.75
Lettuce,Carboxylate,264.1,-0.8,1.35,960,0.002,0.003,1.5
Lettuce,Carboxylate,264.1,-0.8,1.35,960,0.002,0.003,1.5
Lettuce,Carboxylate,314.1,0.2,2.85,960,0.14,0.04,0.29
Lettuce,Carboxylate,314.1,0.2,2.85,960,0.01,0.002,0.2
Lettuce,Carboxylate,314.1,0.2,2.85,960,0.003,0.001,0.33
Lettuce,Carboxylate,314.1,0.2,2.85,960,0.002,0.001,0.5
Lettuce,Carboxylate,314.1,0.2,2.85,960,0.002,0.001,0.5
Lettuce,Carboxylate,364.1,0.81,2.05,960,0.24,0.043,0.18
Lettuce,Carboxylate,364.1,0.81,2.05,960,0.01,0.002,0.2
Lettuce,Carboxylate,364.1,0.81,2.05,960,0.004,0.0009,0.225
Lettuce,Carboxylate,364.1,0.81,2.05,960,0.003,0.001,0.33
Lettuce,Carboxylate,364.1,0.81,2.05,960,0.002,0.0009,0.45
Lettuce,Carboxylate,414.1,3.15,3.1,960,0.31,0.024,0.077
Lettuce,Carboxylate,414.1,3.15,3.1,960,0.04,0.002,0.05
Lettuce,Carboxylate,414.1,3.15,3.1,960,0.01,0.001,0.1
Lettuce,Carboxylate,414.1,3.15,3.1,960,0.01,0.0015,0.15
Lettuce,Carboxylate,414.1,3.15,3.1,960,0.005,0.0015,0.3
Lettuce,Carboxylate,414.07,0.23,3.54,960,0.43,0.03,0.07
Lettuce,Carboxylate,414.07,0.23,3.54,960,0.11,0.004,0.04
Lettuce,Carboxylate,414.07,0.23,3.54,960,0.06,0.002,0.033
Lettuce,Carboxylate,414.07,0.23,3.54,960,0.06,0.002,0.033
Lettuce,Carboxylate,414.07,0.23,3.54,960,0.02,0.0023,2
Lettuce,Carboxylate,464.08,0.4,4.15,960,3.24,0.18,0.06
Lettuce,Carboxylate,464.08,0.4,4.15,960,0.36,0.01,0.03
Lettuce,Carboxylate,464.08,0.4,4.15,960,0.13,0.02,0.15
Lettuce,Carboxylate,464.08,0.4,4.15,960,0.26,0.016,0.062
Lettuce,Carboxylate,464.08,0.4,4.15,960,0.07,0.04,0.571
Lettuce,Carboxylate,564.09,0.54,4,960,2.94,0.17,0.06
Lettuce,Carboxylate,564.09,0.54,4,960,0.96,0.016,0.02
Lettuce,Carboxylate,564.09,0.54,4,960,0.31,0.003,0.0097
Lettuce,Carboxylate,564.09,0.54,4,960,0.8,0.006,0.0075
Lettuce,Carboxylate,564.09,0.54,4,960,0.2,0.003,0.015
Lettuce,Carboxylate,614.1,0.54,8.76,960,2.29,0.08,0.03
Lettuce,Carboxylate,614.1,0.54,8.76,960,1.19,0.014,0.01
Lettuce,Carboxylate,614.1,0.54,8.76,960,0.31,0.0017,0.005
Lettuce,Carboxylate,614.1,0.54,8.76,960,0.43,0.004,0.009
Lettuce,Carboxylate,614.1,0.54,8.76,960,0.03,0.001,0.033
Lettuce,Carboxylate,664.1,0.54,8.76,960,1.29,0.112,0.09
Lettuce,Carboxylate,664.1,0.54,8.76,960,0.71,0.015,0.021
Lettuce,Carboxylate,664.1,0.54,8.76,960,0.23,0.003,0.013
Lettuce,Carboxylate,664.1,0.54,8.76,960,0.35,0.002,0.0057
Lettuce,Carboxylate,664.1,0.54,8.76,960,0.03,0.0004,0.013
Lettuce,Carboxylate,714.11,0.54,5.1,960,2.12,0.094,0.044
Lettuce,Carboxylate,714.11,0.54,5.1,960,0.59,0.005,0.008
Lettuce,Carboxylate,714.11,0.54,5.1,960,0.35,0.001,0.003
Lettuce,Carboxylate,714.11,0.54,5.1,960,0.32,0.0005,0.002
Lettuce,Carboxylate,714.11,0.54,5.1,960,0.03,0.00008,0.003
Lettuce,Sulfonate,300.1,-1.61,2.79,960,0.39,0.07,0.044
Lettuce,Sulfonate,300.1,-1.61,2.79,960,0.01,0.0019,0.19
Lettuce,Sulfonate,300.1,-1.61,2.79,960,0.004,0.0006,0.15
Lettuce,Sulfonate,300.1,-1.61,2.79,960,0.002,0.0006,0.3
Lettuce,Sulfonate,300.1,-1.61,2.79,960,0.002,0.0006,0.3
Lettuce,Sulfonate,400.1,-1.64,2.2,960,0.94,0.165,0.18
Lettuce,Sulfonate,400.1,-1.64,2.2,960,0.02,0.0013,0.065
Lettuce,Sulfonate,400.1,-1.64,2.2,960,0.01,0.0006,0.06
Lettuce,Sulfonate,400.1,-1.64,2.2,960,0.01,0.0005,0.05
Lettuce,Sulfonate,400.1,-1.64,2.2,960,0.003,0.0006,0.2
Cabbage,Carboxylate,214.1,-0.21,1.43,960,0.0025,0.0025,1
Cabbage,Carboxylate,214.1,-0.21,1.43,960,0.065,0.0026,0.04
Cabbage,Carboxylate,214.1,-0.21,1.43,960,0.005,0.0019,0.38
Cabbage,Carboxylate,214.1,-0.21,1.43,960,0.006,0.003,0.5
Cabbage,Carboxylate,264.1,-0.8,1.35,960,0.01,0.003,0.3
Cabbage,Carboxylate,264.1,-0.8,1.35,960,0.006,0.002,0.333
Cabbage,Carboxylate,264.1,-0.8,1.35,960,0.004,0.001,0.25
Cabbage,Carboxylate,264.1,-0.8,1.35,960,0.006,0.002,0.333
Cabbage,Carboxylate,314.1,0.2,2.85,960,0.018,0.0016,0.089
Cabbage,Carboxylate,314.1,0.2,2.85,960,0.011,0.002,0.182
Cabbage,Carboxylate,314.1,0.2,2.85,960,0.006,0.001,0.167
Cabbage,Carboxylate,314.1,0.2,2.85,960,0.009,0.001,0.111
Cabbage,Carboxylate,364.1,0.81,2.05,960,0.023,0.002,0.087
Cabbage,Carboxylate,364.1,0.81,2.05,960,0.105,0.0009,0.009
Cabbage,Carboxylate,364.1,0.81,2.05,960,0.009,0.0004,0.044
Cabbage,Carboxylate,364.1,0.81,2.05,960,0.012,0.0006,0.05
Cabbage,Carboxylate,414.1,3.15,3.1,960,0.08,0.003,0.0375
Cabbage,Carboxylate,414.1,3.15,3.1,960,0.037,0.002,0.054
Cabbage,Carboxylate,414.1,3.15,3.1,960,0.02,0.002,0.1
Cabbage,Carboxylate,414.1,3.15,3.1,960,0.024,0.002,0.083
Cabbage,Carboxylate,414.07,0.23,3.54,960,0.189,0.003,0.016
Cabbage,Carboxylate,414.07,0.23,3.54,960,0.094,0.002,0.021
Cabbage,Carboxylate,414.07,0.23,3.54,960,0.047,0.003,0.064
Cabbage,Carboxylate,414.07,0.23,3.54,960,0.049,0.003,0.061
Cabbage,Carboxylate,464.08,0.4,4.15,960,0.336,0.004,0.012
Cabbage,Carboxylate,464.08,0.4,4.15,960,0.204,0.004,0.02
Cabbage,Carboxylate,464.08,0.4,4.15,960,0.118,0.006,0.051
Cabbage,Carboxylate,464.08,0.4,4.15,960,0.108,0.006,0.056
Cabbage,Carboxylate,564.09,0.54,4,960,0.308,0.004,0.013
Cabbage,Carboxylate,564.09,0.54,4,960,0.222,0.005,0.023
Cabbage,Carboxylate,564.09,0.54,4,960,0.165,0.008,0.048
Cabbage,Carboxylate,564.09,0.54,4,960,0.173,0.01,0.058
Cabbage,Carboxylate,614.1,0.54,8.76,960,0.201,0.004,0.02
Cabbage,Carboxylate,614.1,0.54,8.76,960,0.17,0.003,0.018
Cabbage,Carboxylate,614.1,0.54,8.76,960,0.103,0.002,0.019
Cabbage,Carboxylate,614.1,0.54,8.76,960,0.078,0.003,0.038
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.241,0.006,0.025
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.184,0.0005,0.003
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.168,0.0006,0.004
Cabbage,Carboxylate,664.1,0.54,8.76,960,0.115,0.0006,0.005
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.226,0.006,0.027
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.263,0.0006,0.002
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.169,0.0001,0.001
Cabbage,Carboxylate,714.11,0.54,5.1,960,0.119,0.00006,0.001
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.015,0.0001,0.007
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.02,0.0005,0.025
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.012,0.0003,0.025
Cabbage,Sulfonate,300.1,-1.61,2.79,960,0.018,0.0005,0.028
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.046,0.00015,0.003
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.038,0.0012,0.032
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.021,0.0009,0.043
Cabbage,Sulfonate,400.1,-1.64,2.2,960,0.027,0.001,0.037
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.0013,0.0013,1
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.00012,0.06
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.0006,0.3
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.0009,0.45
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.006,0.00125,0.208
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.004,0.00012,0.03
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.005,0.0016,0.32
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.003,0.002,0.67
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.007,0.007,1
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.006,0.006,1
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.008,0.0045,0.563
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.004,0.005,1.25
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.007,0.636
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.008,0.727
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.008,0.727
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.009,0.008,0.889
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.03,0.01,0.333
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.03,0.01,0.333
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.028,0.001,0.036
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.02,0.01,0.5
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.08,0.02,0.25
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.06,0.01,0.167
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.06,0.01,0.167
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.05,0.01,0.2
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.24,0.01,0.0417
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.13,0.008,0.062
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.11,0.009,0.082
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.09,0.01,0.111
Zucchini,Carboxylate,564.09,0.54,4,960,0.35,0.008,0.023
Zucchini,Carboxylate,564.09,0.54,4,960,0.24,0.006,0.025
Zucchini,Carboxylate,564.09,0.54,4,960,0.3,0.007,0.0233
Zucchini,Carboxylate,564.09,0.54,4,960,0.23,0.008,0.0348
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.32,0.004,0.0125
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.26,0.003,0.0115
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.15,0.002,0.0133
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.1,0.002,0.02
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.17,0.004,0.0235
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.16,0.0004,0.0025
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.14,0.0003,0.0021
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.11,0.0004,0.0036
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.61,0.006,0.0098
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.75,0.0006,0.0008
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.43,0.0002,0.0005
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.2,0.0001,0.0005
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.01,0.00004,0.004
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.01,0.001,0.1
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.013,0.001,0.077
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.009,0.001,0.111
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.02,0.01,0.5
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.03,0.005,0.167
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.029,0.004,0.138
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.015,0.003,0.2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.0017,0.003,1.765
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.001,0.002,2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.001,0.002,2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.0005,0.001,2
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.002,0.002,1
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.002,2
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.001,1
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.001,1
Tomato,Carboxylate,314.1,0.2,2.85,960,0.004,0.003,0.75
Tomato,Carboxylate,314.1,0.2,2.85,960,0.0038,0.003,0.79
Tomato,Carboxylate,314.1,0.2,2.85,960,0.002,0.004,2
Tomato,Carboxylate,314.1,0.2,2.85,960,0.001,0.004,4
Tomato,Carboxylate,364.1,0.81,2.05,960,0.004,0.0045,1.13
Tomato,Carboxylate,364.1,0.81,2.05,960,0.0039,0.006,1.54
Tomato,Carboxylate,364.1,0.81,2.05,960,0.003,0.004,1.33
Tomato,Carboxylate,364.1,0.81,2.05,960,0.002,0.004,2
Tomato,Carboxylate,414.1,3.15,3.1,960,0.007,0.009,1.29
Tomato,Carboxylate,414.1,3.15,3.1,960,0.016,0.008,0.5
Tomato,Carboxylate,414.1,3.15,3.1,960,0.01,0.007,0.7
Tomato,Carboxylate,414.1,3.15,3.1,960,0.006,0.008,1.33
Tomato,Carboxylate,414.07,0.54,3.54,960,0.045,0.009,0.2
Tomato,Carboxylate,414.07,0.54,3.54,960,0.06,0.008,0.13
Tomato,Carboxylate,414.07,0.54,3.54,960,0.05,0.009,0.18
Tomato,Carboxylate,414.07,0.54,3.54,960,0.03,0.01,0.33
Tomato,Carboxylate,464.08,0.54,4.15,960,0.15,0.017,0.11
Tomato,Carboxylate,464.08,0.54,4.15,960,0.12,0.01,0.08
Tomato,Carboxylate,464.08,0.54,4.15,960,0.11,0.01,0.09
Tomato,Carboxylate,464.08,0.54,4.15,960,0.08,0.02,0.25
Tomato,Carboxylate,564.09,0.54,4,960,0.18,0.01,0.06
Tomato,Carboxylate,564.09,0.54,4,960,0.3,0.01,0.03
Tomato,Carboxylate,564.09,0.54,4,960,0.22,0.01,0.05
Tomato,Carboxylate,564.09,0.54,4,960,0.27,0.02,0.07
Tomato,Carboxylate,614.1,0.54,8.76,960,0.22,0.01,0.05
Tomato,Carboxylate,614.1,0.54,8.76,960,0.218,0.004,0.02
Tomato,Carboxylate,614.1,0.54,8.76,960,0.112,0.006,0.05
Tomato,Carboxylate,614.1,0.54,8.76,960,0.014,0.003,0.21
Tomato,Carboxylate,664.1,0.54,8.76,960,0.15,0.007,0.05
Tomato,Carboxylate,664.1,0.54,8.76,960,0.19,0.002,0.01
Tomato,Carboxylate,664.1,0.54,8.76,960,0.12,0.0019,0.02
Tomato,Carboxylate,664.1,0.54,8.76,960,0.019,0.001,0.05
Tomato,Carboxylate,714.11,0.54,5.1,960,0.21,0.008,0.04
Tomato,Carboxylate,714.11,0.54,5.1,960,0.22,0.0008,0
